# FromNodeId	ToNodeId
3	257
4	641
5	787
5	987
7	17
7	696
9	332
10	817
11	39
11	753
11	757
12	144
15	138
17	650
18	758
19	35
20	280
22	208
23	642
24	422
25	492
25	705
25	896
26	465
26	558
26	761
28	966
29	678
30	0
30	727
30	913
34	531
34	648
34	960
35	674
36	883
39	474
39	620
39	735
39	920
43	194
43	629
44	184
44	380
47	420
49	954
50	20
50	428
51	331
52	690
53	834
55	50
56	255
59	956
60	475
61	275
61	725
61	895
62	87
62	351
63	141
63	367
63	794
64	27
64	968
65	476
67	65
67	500
68	123
68	1023
69	962
71	671
72	336
72	808
73	718
75	994
76	43
79	156
79	380
80	560
86	190
88	554
88	982
89	753
92	157
92	634
94	141
100	378
101	127
101	444
101	746
104	53
104	827
105	277
105	486
105	513
106	57
107	95
107	502
107	947
107	1016
110	193
111	773
113	0
113	343
113	557
115	785
116	447
116	614
118	502
118	788
119	37
119	377
120	993
121	449
122	739
124	817
126	467
126	822
126	870
127	538
129	390
129	718
132	772
136	156
137	232
138	153
138	164
140	243
141	182
141	859
142	650
143	179
144	931
145	168
147	157
148	668
149	126
149	388
149	469
151	204
151	245
154	94
154	482
156	105
156	847
157	874
158	847
159	448
160	201
161	267
162	711
163	20
163	459
165	874
165	978
166	719
167	941
168	78
172	111
172	675
175	638
176	623
177	260
177	763
177	779
177	872
179	288
179	291
180	122
181	395
181	761
182	681
182	829
184	677
187	982
188	673
188	726
188	846
188	859
191	342
192	544
192	929
193	445
193	502
194	729
194	741
195	592
198	161
199	609
205	121
205	220
206	798
208	489
209	432
211	617
212	257
213	353
214	410
215	826
215	919
217	182
217	714
218	719
218	752
219	599
219	768
223	1
224	764
224	1007
225	478
225	621
225	924
226	233
226	938
230	992
231	180
234	264
234	486
234	502
234	768
235	774
235	887
236	239
236	469
237	124
238	913
238	935
240	727
241	95
241	96
242	779
243	26
246	742
248	339
249	305
252	393
254	531
255	926
255	934
256	5
256	7
256	610
256	903
257	695
257	854
258	96
259	166
260	341
263	123
263	426
264	98
265	630
265	685
265	766
266	97
266	570
266	819
267	12
270	35
270	495
270	897
271	450
271	550
272	9
274	356
274	833
275	622
275	741
276	576
276	716
279	34
279	278
279	962
280	196
281	406
281	1023
282	379
283	136
284	101
285	115
285	432
285	977
287	330
288	635
289	91
290	359
290	837
291	222
291	743
293	567
295	355
296	690
297	679
