UserId	UserId
6	4
16	15
25	24
27	26
32	31
22	31
22	36
39	38
40	38
38	39
38	40
58	44
55	12
39	46
58	46
49	48
39	48
55	48
49	52
49	39
56	49
49	59
56	52
58	39
55	53
54	55
55	56
55	57
55	58
55	59
76	71
76	72
76	74
76	75
39	94
100	103
103	101
107	58
98	112
138	137
112	144
49	157
161	160
162	64
162	98
98	163
19	151
175	174
22	182
189	184
196	195
197	195
198	195
199	195
198	196
198	84
198	197
197	199
199	197
198	199
76	203
204	202
204	1
205	1
204	205
82	7
175	8
163	232
49	184
233	184
52	49
49	22
22	39
233	22
233	95
233	104
19	22
226	149
226	120
6	100
6	212
62	246
82	246
24	58
251	46
19	58
251	58
252	58
252	36
39	134
57	95
188	125
105	130
19	109
279	280
39	289
10	294
227	155
226	1
113	82
97	66
39	97
164	97
6	137
63	207
82	207
22	19
197	321
229	323
175	324
175	326
7	272
289	162
98	162
201	129
186	1
98	202
32	58
58	75
189	58
105	56
170	76
253	342
175	149
175	311
175	1
58	1
25	269
175	269
58	175
58	269
343	49
196	19
137	97
74	107
105	74
179	53
350	97
109	97
96	97
350	96
175	226
358	215
359	360
359	42
169	24
164	195
356	89
22	356
366	129
186	207
152	131
10	76
155	219
39	36
244	280
226	100
323	380
89	280
186	153
214	198
239	66
269	189
189	345
345	189
316	91
216	196
344	188
175	64
196	269
289	242
38	242
49	289
289	175
269	38
252	175
175	19
415	198
289	159
289	198
105	416
98	416
98	198
98	10
198	416
243	198
10	417
417	418
395	98
63	366
282	366
128	282
427	44
427	162
427	278
170	335
94	343
155	94
188	316
316	188
226	154
188	154
59	188
196	346
346	139
10	170
98	233
109	272
289	39
437	75
437	390
22	189
330	441
316	75
19	131
196	107
107	186
205	107
233	107
445	196
196	203
205	246
447	246
205	433
205	186
233	186
205	233
233	447
10	146
58	129
415	58
288	47
104	165
160	182
182	69
426	127
104	177
137	160
137	82
19	457
457	125
457	251
457	11
3	19
115	157
233	3
233	269
175	184
205	184
175	416
205	416
175	125
175	55
205	55
175	205
113	52
19	437
175	48
175	50
25	333
269	25
98	154
39	154
438	364
295	97
350	233
350	44
98	350
316	7
21	345
321	453
198	453
321	198
453	321
453	198
278	468
184	49
49	198
59	198
224	44
366	209
177	476
325	151
325	376
98	195
22	140
140	36
89	216
101	91
162	39
272	162
253	338
76	83
129	196
196	455
39	417
467	417
6	417
467	6
196	275
346	196
267	51
184	97
175	3
187	476
476	187
219	155
457	202
162	416
350	333
350	225
344	73
338	179
338	233
198	434
198	496
204	31
6	38
425	100
425	184
59	44
229	10
205	10
253	354
354	48
338	354
354	93
338	305
152	219
98	1
345	186
105	264
38	19
14	503
76	159
76	86
305	97
277	138
98	184
269	244
316	344
189	198
269	58
301	242
189	242
269	62
62	269
160	189
189	22
82	434
301	244
82	39
82	343
343	39
179	48
24	76
104	93
343	137
25	82
343	82
52	25
343	25
229	43
229	154
58	210
186	7
175	7
58	7
49	324
324	58
49	1
58	186
276	427
10	346
10	189
345	399
324	153
322	73
68	22
25	198
226	39
226	162
58	156
105	80
189	157
316	97
179	95
277	25
58	76
425	301
138	198
175	100
32	198
32	175
175	198
437	76
252	437
437	345
189	355
189	76
58	345
76	355
252	76
76	345
56	417
76	44
76	202
76	59
160	400
151	279
42	335
3	344
344	484
344	244
344	276
344	241
276	344
301	80
542	431
195	462
198	321
198	59
140	288
117	155
183	205
212	97
152	196
152	264
196	58
326	246
324	49
324	289
4	1
58	441
170	288
288	170
327	553
177	553
177	104
19	167
100	82
107	8
107	96
344	153
344	20
344	157
76	399
76	201
188	343
562	139
4	184
4	38
523	100
58	31
58	8
356	75
204	59
92	3
358	189
24	570
546	189
42	196
196	162
229	196
100	38
289	117
226	266
175	441
441	59
226	229
226	175
42	75
229	42
42	58
38	162
175	162
59	162
229	75
229	189
38	58
175	58
100	48
129	201
98	121
7	82
215	403
197	198
199	198
507	462
150	113
151	97
437	175
39	343
194	267
55	416
55	162
243	278
186	87
186	252
134	12
134	152
288	252
76	125
76	10
415	107
415	59
62	175
27	352
42	352
42	27
10	13
316	125
58	125
58	316
326	316
49	100
246	100
58	242
76	242
76	48
288	48
58	91
246	530
58	530
288	76
19	492
19	202
198	50
453	93
76	397
345	188
29	160
492	98
162	492
492	178
184	350
226	434
329	434
434	329
226	91
91	53
226	350
162	350
344	350
59	350
10	98
226	223
162	226
162	305
344	162
10	162
162	59
344	59
10	59
107	268
170	268
98	242
98	91
415	217
82	195
73	356
22	399
346	356
22	10
585	76
76	585
261	97
316	212
395	20
58	333
151	7
151	131
344	131
136	513
350	19
76	288
38	134
38	440
316	44
25	39
366	177
198	105
198	162
112	162
425	446
49	350
175	320
189	10
224	39
494	224
494	39
494	38
494	607
103	7
7	379
103	379
344	208
344	121
58	70
264	202
316	98
25	437
25	316
437	316
326	6
513	109
359	404
204	242
39	229
98	246
98	326
246	326
462	326
56	502
56	311
7	19
19	7
25	324
196	42
196	35
42	35
188	46
226	137
39	137
316	137
188	137
316	9
188	9
52	316
39	226
226	316
39	316
39	188
82	494
494	82
22	47
22	437
22	38
272	22
243	59
272	38
252	160
103	39
98	64
22	129
505	198
107	513
107	178
19	239
322	131
196	323
196	152
279	152
415	62
76	22
98	446
350	33
113	350
562	577
62	468
320	350
